,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"1-QF710-1 1/4 (Moon Rock -126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QF720-1 1/4 (Calacatta Ventura-126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QF730-1 1/4 (Calacatta Hayes-126*63  3cm)",,"","",-90,0,0,-90,,0,0,,0
"1-QF740-1 1/4 (Calacatta Bona-126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QF750-1 1/4 (Calacatta Torre-126*63  3cm)",,"","",-81,0,0,-81,,0,0,,0
"1-QF750-3/4 (Calacatta Torre-126*63  2cm)",,"","",0,0,0,0,,0,0,,0
"1-QF760-1 1/4 (Calacatta Frost-126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QF770-1 1/4 (Calacatta Andes-126*63  3cm)",,"","",-41,0,0,-41,,0,0,,0
"1-QF790-1 1/4 (126*63  3cm)",,"","",-34,0,0,-34,,0,0,,0
"1-QG100-1 1/4 (Snow White-126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QG100-3/4 (Snow White-126*63  2cm)",,"","",0,0,0,0,,0,0,,0
"1-QG107-1 1/4 (Carrara Mist-126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QG111-1 1/4 (126*63    1 1/4)",,"","",0,0,0,0,,0,0,,0
"1-QG200-1 1/4 (Sparkle White 126*63  3cm)",,"","",-1,0,0,-1,,0,0,,0
"1-QG200-3/4 (Sparkle White 126*63  2cm)",,"","",0,0,0,0,,0,0,,0
"1-QH800-1 1/4 (126*63  3cm)",,"","",0,0,0,0,,0,0,,0
"1-QT110-1 1/4 (126*63  3cm)",,"","",-33,0,0,-33,,0,0,,0
"1-Sample-QF601-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF710-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF720-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF730-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF740-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF750-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF760-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF770-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF780-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF790-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QG100-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QG101-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QG107-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QG200-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QH800-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QS100-9.5*5.5 (9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"1-Sample-QT110-9.5*5.5 (Sample-9.5*5.5)",,"","",0,0,0,0,,0,0,,0
"Counter Top",,,,,,,,,,,,
"CQ-QF710",,"","",0,0,0,0,,0,0,,0
"CQ-QF720",,"","",-41,0,0,-41,,0,0,,0
"CQ-QF730",,"","",0,0,0,0,,0,0,,0
"CQ-QF740",,"","",-32,0,0,-32,,0,0,,0
"CQ-QF750",,"","",-464,0,0,-464,,0,0,,0
"CQ-QF760",,"","",-38,0,0,-38,,0,0,,0
"CQ-QF770",,"","",-109,0,0,-109,,0,0,,0
"CQ-QG100",,"","",0,0,0,0,,0,0,,0
"CQ-QG107",,"","",-21,0,0,-21,,0,0,,0
"CQ-QG200",,"","",-108.22,0,0,-108.22,,0,0,,0
"CQ-QH800",,"","",0,0,0,0,,0,0,,0
"CQ-QT110",,"","",-43,0,0,-43,,0,0,,0
"Fabrication Only",,"","",-6,0,0,-6,,0,0,,0
"Counter Top - Other",,"","",-159,0,0,-159,,0,0,,0
"Total Counter Top",,,,-1021.22,0,0.00,-1021.22,,0,,,0
"CW2-B09",,"","",23,0,0,23,,1,0,"12/11/2023",0
"CW2-B12",,"","",35,0,0,35,,2,0,"12/11/2023",0
"CW2-B15",,"","",34,0,0,34,,0,0,,0
"CW2-B18",,"","",31,0,0,31,,0,0,,0
"CW2-B21",,"","",23,0,0,23,,0,0,,0
"CW2-B24",,"","",32,0,0,32,,2,0,"12/11/2023",0
"CW2-B27",,"","",34,0,0,34,,0,0,,0
"CW2-B30",,"","",9,0,0,9,,0,0,,0
"CW2-B33",,"","",14,0,0,14,,0,0,,0
"CW2-B36",,"","",9,0,0,9,,0,0,,0
"CW2-BBC36",,"","",0,0,0,0,,0,0,,0
"CW2-BBC42",,"","",4,0,0,4,,0,0,,0
"CW2-BBM",,"","",4,0,0,4,,0,0,,0
"CW2-BEA12-L",,"","",2,0,0,2,,0,0,,0
"CW2-BEA12-R",,"","",0,0,0,0,,0,0,,0
"CW2-BEA24",,"","",0,0,0,0,,0,0,,0
"CW2-BEOS6",,"","",0,0,0,0,,0,0,,0
"CW2-BEOS9",,"","",0,0,0,0,,0,0,,0
"CW2-BF3",,"","",69,0,0,69,,1,0,"12/11/2023",0
"CW2-BF6",,"","",12,0,0,12,,1,0,"12/11/2023",0
"CW2-BFF3",,"","",0,0,0,0,,0,0,,0
