,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"1-QF710-1 1/4",,"","",0,0,0,0,,0,0,,0
"1-QF720-1 1/4",,"","",0,0,0,0,,1,0,"11/25/2020",0
"1-QF730-1 1/4",,"","",0,0,0,0,,0,0,,0
"1-QF740-1 1/4",,"","",-1,0,0,-1,,1,0,"03/30/2021",0
"1-QF750-1 1/4",,"","",1,0,0,1,,0,0,,0
"1-QF760-1 1/4",,"","",0,0,0,0,,0,0,,0
"1-QF770-1 1/4",,"","",0,0,0,0,,0,0,,0
"1-QF780-1 1/4",,"","",0,0,0,0,,0,0,,0
"1-QG101-1 1/4",,0,0,0,0,0,0,,2,0,"03/17/2022",0
"1-QG101-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG111-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG113-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG118-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG161-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG200-1 1/4",,0,0,0,0,0,0,,3,0,"01/29/2019",0
"1-QG200-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG245-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG245-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG501-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG501-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG502-1 1/4",,0,0,0,0,0,0,,4,0,"12/11/2018",0
"1-QG502-3/4",,"","",0,0,0,0,,0,0,,0
"1-QG503-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG503-3/4",,"","",0,0,0,0,,0,0,,0
"1-QG700-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG700-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG801-1 1/4",,0,0,0,0,0,0,,1,0,"07/16/2019",0
"1-QG801-3/4",,"","",0,0,0,0,,0,0,,0
"1-QG803-1 1/4",,0,0,0,0,0,0,,1,0,"07/16/2019",0
"1-QG803-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG804-1 1/4",,0,0,0,0,0,0,,3,0,"07/16/2019",0
"1-QG805-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG805-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG806-1 1/4",,0,0,0,0,0,0,"X",0,1,,0
"1-QG806-3/4",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample- Black Leather Box",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF601-4*4",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QF601-9.5*5.5",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QF603-4*4",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QF603-9.5*5.5",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QF710-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF720-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF730-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF740-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF750-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF760-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF770-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QF780-9.5*5.5",,"","",0,0,0,0,,0,0,,0
"1-Sample-QG101-4*4",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QG101-9.5*5.5",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QG200-4*4",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QG200-9.5*5.5",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-QS100-9.5*5.5",,0,0,0,0,0,0,"X",0,1,,0
"1-Sample-White Paper Box",,"","",0,0,0,0,,0,0,,0
"Assemble Fee",,"","",-2714,0,0,-2714,,0,0,,0
"Confirm",,"","",1,0,0,1,,0,0,,0
"CW2-B09",,0,0,29,0,0,29,,0,0,,0
"CW2-B12",,0,0,49,35,0,14,,0,0,,0
"CW2-B15",,0,0,16,37,0,-21,,0,0,,0
"CW2-B18",,0,0,7,25,0,-18,,0,0,,0
"CW2-B21",,0,0,37,0,0,37,,0,0,,0
"CW2-B24",,0,0,27,26,0,1,,0,0,,0
"CW2-B27",,0,0,19,6,0,13,,0,0,,0
"CW2-B30",,0,0,57,48,0,9,,0,0,,0
"CW2-B33",,0,0,18,31,0,-13,,0,0,,0
"CW2-B36",,0,0,57,21,0,36,,0,0,,0
"CW2-BBC36",,0,0,1,3,0,-2,,0,0,,0
"CW2-BBC42",,0,0,2,4,0,-2,,0,0,,0
"CW2-BBM",,"","",20,0,0,20,,0,0,,0
"CW2-BEA12-L",,0,0,4,7,0,-3,,0,0,,0
"CW2-BEA12-R",,0,0,6,7,0,-1,,0,0,,0
"CW2-BEA24",,0,0,0,2,0,-2,"X",0,1,,0
"CW2-BEOS6",,0,0,8,12,0,-4,,1,0,"10/09/2020",0
"CW2-BEOS9",,0,0,9,9,0,0,,1,0,"10/09/2020",0
"CW2-BF3",,0,0,92,95,0,-3,,0,0,,0
"CW2-BF6",,0,0,3,30,0,-27,,0,0,,0
"CW2-BFF3",,0,0,2,0,0,2,,0,0,,0
"CW2-BMC30",,"","",13,0,0,13,,0,0,,0
"CW2-BRP2430",,0,0,69,28,0,41,,0,0,,0
"CW2-BSR9",,0,0,6,0,0,6,,0,0,,0
"CW2-CM2 3/4",,0,0,35,0,0,35,,0,0,,0
"CW2-CM8",,0,0,245,70,0,175,,0,0,,0
"CW2-DB12",,0,0,12,13,0,-1,,2,0,"12/17/2019",0
"CW2-DB15",,0,0,9,12,0,-3,,3,0,"07/30/2019",0
"CW2-DB18",,0,0,16,3,0,13,,0,0,,0
"CW2-DB21",,0,0,4,4,0,0,,0,0,,0
"CW2-DB24",,0,0,23,12,0,11,,0,0,,0
"CW2-DB30",,"","",3,0,0,3,,0,0,,0
"CW2-DB36",,"","",0,0,0,0,,0,0,,0
"CW2-DDB30",,"","",36,0,0,36,,0,0,,0
"CW2-DDB36",,"","",20,0,0,20,,0,0,,0
"CW2-DWP",,0,0,39,107,0,-68,,5,0,"05/30/2019",7
"CW2-FSB33",,"","",2,0,0,2,,0,0,,0
"CW2-FSB39",,"","",37,0,0,37,,0,0,,0
