,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"CS3-B09",,"","",0,0,0,0,,0,0,,0
"CS3-B12",,"","",0,0,0,0,,0,0,,0
"CS3-B15",,"","",0,0,0,0,,0,0,,0
"CS3-B18",,"","",0,0,0,0,,0,0,,0
"CS3-B21-2DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-B24",,"","",0,0,0,0,,0,0,,0
"CS3-B27",,"","",0,0,0,0,,0,0,,0
"CS3-B30",,"","",0,0,0,0,,0,0,,0
"CS3-B33",,"","",0,0,0,0,,0,0,,0
"CS3-B36",,"","",0,0,0,0,,0,0,,0
"CS3-BBC36",,"","",0,0,0,0,,0,0,,0
"CS3-BBC42",,"","",0,0,0,0,,0,0,,0
"CS3-BEA12-L",,"","",0,0,0,0,,0,0,,0
"CS3-BEA12-R",,"","",0,0,0,0,,0,0,,0
"CS3-BEA2424",,"","",0,0,0,0,,0,0,,0
"CS3-BEOS6",,"","",0,0,0,0,,0,0,,0
"CS3-BEOS9",,"","",0,0,0,0,,0,0,,0
"CS3-BF3",,"","",0,0,0,0,,0,0,,0
"CS3-BF6",,"","",0,0,0,0,,0,0,,0
"CS3-BMB",,"","",26,0,0,26,,0,0,,0
"CS3-BRP2430",,"","",0,0,0,0,,0,0,,0
"CS3-BSR9",,"","",0,0,0,0,,0,0,,0
"CS3-CM2 3/4",,"","",0,0,0,0,,0,0,,0
"CS3-CM8-W/D",,"","",0,0,0,0,,0,0,,0
"CS3-DB12",,"","",0,0,0,0,,0,0,,0
"CS3-DB15",,"","",0,0,0,0,,0,0,,0
"CS3-DB18",,"","",0,0,0,0,,0,0,,0
"CS3-DB21",,"","",0,0,0,0,,0,0,,0
"CS3-DB24",,"","",0,0,0,0,,0,0,,0
"CS3-DWP",,"","",0,0,0,0,,0,0,,0
"CS3-GW1530-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW1530-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW1539-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW1539-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW1830-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW1830-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW1839-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW1839-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW2430-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW2430-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW2439-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW2439-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW3030-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW3030-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW3039-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW3039-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW3630-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW3630-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GW3639-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GW3639-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GWDC2430-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GWDC2430-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-GWDC2439-BOX",,"","",0,0,0,0,,0,0,,0
"CS3-GWDC2439-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"CS3-LSB33",,"","",0,0,0,0,,0,0,,0
"CS3-LSB36",,"","",0,0,0,0,,0,0,,0
"CS3-MWC2730",,"","",0,0,0,0,,0,0,,0
"CS3-MWC2739",,"","",0,0,0,0,,0,0,,0
"CS3-MWC3030",,"","",0,0,0,0,,0,0,,0
"CS3-MWC3039",,"","",0,0,0,0,,0,0,,0
"CS3-OCM8",,"","",0,0,0,0,,0,0,,0
"CS3-PC1884",,"","",0,0,0,0,,0,0,,0
"CS3-PC1893",,"","",0,0,0,0,,0,0,,0
"CS3-PC2484",,"","",0,0,0,0,,0,0,,0
"CS3-PC2493",,"","",0,0,0,0,,0,0,,0
"CS3-PN4896 1/4D",,"","",0,0,0,0,,0,0,,0
"CS3-PRC3018",,"","",0,0,0,0,,0,0,,0
"CS3-RC58",,"","",0,0,0,0,,0,0,,0
"CS3-REF24*96",,"","",0,0,0,0,,0,0,,0
"CS3-ROT18",,"","",0,0,0,0,,0,0,,0
