,Pref Vendor,Reorder Pt (Min),Max,On Hand,On Sales Order,For Assemblies,Available,Order,On PO,Reorder Qty,Next Deliv,Sales/Week
Inventory333,,,,,,,,,,,,
1-QD103-1 1/4 (126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QD103-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QD165-3/4 (126*63 3/4),,,,0,0,0,0,,0,0,,0
1-QD165 -1 1/4 (126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF601-1 1/4 (122*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QF601-3/4 (122*63  3/4),,,,0,0,0,0,,0,0,,0
1-QF602-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QF603-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QF603-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QF604-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QF604-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QF605-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QF606-1 1/4 (126*63 1/1/4),,,,0,0,0,0,,0,0,,0
1-QF606-3/4 (126*63 1 /1/4),,,,0,0,0,0,,0,0,,0
1-QF607-1 1/4 (126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF607-3/4 (126*63 1 /1/4),,,,0,0,0,0,,0,0,,0
1-QF608-1 1/4 (126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF608-3/4 (126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF710-1 1/4 (DG1195- 126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF720-1 1/4 (DW2203 - 126*63 1 /4),,,,0,0,0,0,,0,0,,0
1-QF730-1 1/4 (DW2205-126*63 1/ 1/4),,,,0,0,0,0,,0,0,,0
1-QF740-1 1/4 (DW2206 - 126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF750-1 1/4 (DW2208 - 126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF760-1 1/4 (DW2557 - 126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF770-1 1/4 (DW3001 126*63 1 1/4),,,,0,0,0,0,,0,0,,0
1-QF780-1 1/4 (IQ85-127*64 1 1/4),,,,0,0,0,0,,0,0,,0
1-QG101-1 1/4 (126*63    1 1/4),,,,0,0,0,0,,0,0,,0
1-QG101-3/4 (126*63 3/4),,,,0,0,0,0,,0,0,,0
1-QG111-1 1/4 (126*63    1 1/4),,,,0,0,0,0,,0,0,,0
1-QG113-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG118-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QG161-3/4 (119*56   3/4),,,,0,0,0,0,,0,0,,0
1-QG200-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG200-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QG245-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG245-3/4 (119*56  3/4),,,,0,0,0,0,,0,0,,0
1-QG501-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG501-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QG502-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG502-3/4,,,,0,0,0,0,,0,0,,0
1-QG503-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG503-3/4 (126*63 3/4),,,,0,0,0,0,,0,0,,0
1-QG700-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG700-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QG801-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG801-3/4 (126*63 3/4),,,,0,0,0,0,,0,0,,0
1-QG803-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG803-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QG804-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG805-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG805-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QG806-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QG806-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QR109-3/4 (119*56       3/4),,,,0,0,0,0,,0,0,,0
1-QR109 - 1 1/4 (126*63  1  /4),,,,0,0,0,0,,0,0,,0
1-QR109 - 3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QR142-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QR142 - 3/4 (126*63 3/4),,,,0,0,0,0,,0,0,,0
1-QR161-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QR161-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QS100-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QS100-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-QS106-1 1/4 (126*63  1 1/4),,,,0,0,0,0,,0,0,,0
1-QS300-1 1/4 (126*63   1 1/4),,,,0,0,0,0,,0,0,,0
1-QS300-3/4 (126*63  3/4),,,,0,0,0,0,,0,0,,0
1-Sample- Black Leather Box,,,,0,0,0,0,,0,0,,0
1-Sample-QF601-4*4 (4*4),,,,0,0,0,0,,0,0,,0
1-Sample-QF601-9.5*5.5 (9.5*5.5),,,,0,0,0,0,,0,0,,0
1-Sample-QF603-4*4 (4*4),,,,0,0,0,0,,0,0,,0
1-Sample-QF603-9.5*5.5 (9.5*5.5),,,,0,0,0,0,,0,0,,0
1-Sample-QF710-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF720-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF730-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF740-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF750-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF760-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF770-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QF780-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-QG101-4*4 (4*4),,,,0,0,0,0,,0,0,,0
1-Sample-QG101-9.5*5.5 (9.5*5.5),,,,0,0,0,0,,0,0,,0
1-Sample-QG200-4*4 (4*4),,,,0,0,0,0,,0,0,,0
1-Sample-QG200-9.5*5.5 (9.5*5.5),,,,0,0,0,0,,0,0,,0
1-Sample-QS100-9.5*5.5,,,,0,0,0,0,,0,0,,0
1-Sample-White Paper Box,,,,0,0,0,0,,0,0,,0
Appliance,,,,,,,,,,,,
Frigidaire-FFTR1814WW (Refrigerator),,,,2,0,0,2,,0,0,,0
Frigidaire-FRSS2623AS (Refrigerator),,,,2,0,0,2,,0,0,,0
Frigidaire -FCRG3052AS (STOVE),,,,1,0,0,1,,0,0,,0
Frigidaire -FPMO227NUF (Microwave),,,,1,0,0,1,,0,0,,0
GE-JGBS66DEKWW (STOVE),,,,2,0,0,2,,0,0,,0
Samsung-NX60A6111SS (STOVE),,,,2,0,0,2,,0,0,,0
Samsung-RS22T5201SR/AA (Refrigerator),,,,1,0,0,1,,0,0,,0
Whirlpool-WFG320MOBB (STOVE),,,,2,0,0,2,,0,0,,0
WHIRLPOOL-WRS325SDHZ (Refrigerator),,,,2,0,0,2,,0,0,,0
Whirlpool -WDT730PAHZ0 (DISHWASHER),,,,1,0,0,1,,0,0,,0
Appliance - Other,,,,-1,0,0,-1,,0,0,,0
Total Appliance,,,,15,0,0,15,,0,,,0
CS3-B09,,,,0,0,0,0,,0,0,,0
CS3-B12,,,,0,0,0,0,,0,0,,0
CS3-B15,,,,0,0,0,0,,0,0,,0
CS3-B18,,,,0,0,0,0,,0,0,,0
CS3-B21-2DOOR,,,,0,0,0,0,,0,0,,0
CS3-B24,,,,0,0,0,0,,0,0,,0
CS3-B27,,,,0,0,0,0,,0,0,,0
